THSCODE;DESCRIPT;LANG
F20D1N9;rasvahappo 20:1 n-9;FI
F20D1N11;rasvahappo 20:1 n-11;FI
F22D1T;rasvahappoisomeerit 22:1;FI
F22D1;rasvahappo 22:1;FI
F22D1CIS;rasvahappo 22:1 cis;FI
F22D1N7;rasvahappo 22:1 n-7;FI
F22D1N9;rasvahappo 22:1 n-9;FI
F22D1N11;rasvahappo 22:1 n-11;FI
F24D1;rasvahappo 24:1;FI
F24D1N9;rasvahappo 24:1 n-9;FI
F16D2;rasvahappo 16:2;FI
F16D3;rasvahappo 16:3;FI
F16D4;rasvahappo 16:4;FI
F18D2CON;rasvahappo 18:2 konjugoitu;FI
F18D2ISO;rasvahappo 18:2 iso;FI
F18D2CIS;rasvahapoisomeerit 18:2 cis;FI
F18D2CN6;rasvahappo 18:2 cis,cis n-6 (linolihappo);FI
F18D3N3;rasvahappo 18:3 n-3 (alfalinoleenihappo);FI
F18D3N6;rasvahappo 18:3 n-6 (GLA, gammalinoleenihappo);FI
F18D4N3;rasvahappo 18:4 n-3;FI
F20D2CIS;rasvahappo 20:2 cis;FI
F20D2N6;rasvahappo 20:2 n-6;FI
F20D3N3;rasvahappo 20:3 n-3;FI
F20D3N6;rasvahappo 20:3 n-6;FI
F20D4N3;rasvahappo 20:4 n-3;FI
F20D4N6;rasvahappo 20:4 n-6 (arakidonihappo);FI
F20D5N3;rasvahappo 20:5 n-3 (EPA);FI
F20D5N6;rasvahappo 20:5 n-6;FI
F21D5N3;rasvahappo 21:5 n-3;FI
F22D2N6;rasvahappo 22:2 n-6;FI
F22D4N3;rasvahappo 22:4 n-3;FI
F22D4N6;rasvahappo 22:4 n-6;FI
F22D5N3;rasvahappo 22:5 n-3 (DPA);FI
F22D5N6;rasvahapppo 22:5 n-6;FI
F22D6N3;rasvahappo 22:6 n-3 (DHA);FI
F24DXN3;rasvahappo 24:X n-3;FI
F16D1TRS;rasvahappo 16:1 trans;FI
F18D1TN;rasvahappo 18:1 trans;FI
F18D2TN;rasvahappo 18:2 trans;FI
F18D2TRI;rasvahappoisomeerit 18:2 tri;FI
F18D3TN;rasvahappo 18:3 trans;FI
F20D1TN;rasvahappo 20:1 trans;FI
F20D2TN;rasvahappo 20:2 trans;FI
F22D1TN;rasvahappo 22:1 trans;FI
NITRA;nitraatti;FI
NITRI;nitriitti;FI
TAUR;tauriini;FI
ALA;alaniini;FI
ARG;arginiini;FI
ASNASP;asparagiini + asparagiinihappo;FI
GLNGLU;glutamiini + glutamiinihappo;FI
GLY;glysiini;FI
HIS;histidiini;FI
ILE;isoleusiini;FI
LEU;leusiini;FI
LYS;lysiini;FI
MET;metioniini;FI
METX;metioniini (EKT hydrolyysi);FI
PHE;fenyylialaniini;FI
PRO;proliini;FI
SER;seriini;FI
TRP;tryptofaani;FI
TYR;tyrosiini;FI
VAL;valiini;FI
BETATN;betaiini;FI
F11D0;rasvahappo 11:0;FI
F9D0;rasvahappo 9:0;FI
EDICTYOL;eriodiktioli;FI
EPIKATEK;epikatekiini;FI
HESPER;hesperetiini;FI
ISORHAM;isorhamnetin;FI
KAEMPH;kamferoli;FI
KATEK;katekiini;FI
LUTEOL;luteoliini;FI
MYRIC;myrisetiini;FI
NARINGE;naringeniini;FI
QUERCE;kversetiini;FI
CHOLNT;koliini, yhteensä;FI
BIOCHA;biokaniini A;FI
FORMO;formononetiini;FI
GENIST;genisteiini;FI
LIGNANS;lignaanit;FI
SECORES;sekoisolarisiresinoli;FI
CHOLE;kolesteroli (GC);FI
CHORL;kolesteroli (entsymaattinen menetelmä);FI
STERT;sterolit;FI
AVEDT;avenasteroli, yhteensä;FI
BRASTR;brassikasteroli;FI
CAMT;kampesteroli;FI
SITSTR;sitosteroli;FI
STEROTH;sterolit, muut;FI
STGSTR;stigmasteroli;FI
STANTOT;stanolit yhteensä;FI
ALKRESOR;alkyyliresorsinolit;FI
ANTHOCYT;antosyanidiinit, yhteensä;FI
AVANTHRA;avenantramidit;FI
CYANID;syanidiini;FI
DELPHIN;delfinidiini;FI
ELGTANN;ellagitanniinit;FI
MALVID;malvidiini;FI
PA4TO6;proantosyanidiini 4-6-meerit;FI
PA7TO10;proantosyanidiini 7-10-meerit;FI
PABOUND;proantosyanidit sitoutuneet;FI
PADIME;proantosyandiinidimeerit;FI
PAMONO;proantosyanidiinimonomeerit;FI
PAPOLYM;proantosyanopolymeerit;FI
PATRI;proantosyanidiniinitrimeerit;FI
PELARGON;pelargonidiini;FI
PEONID;peonidiini;FI
PETUN;petunidiini;FI
PROANTCT;proantosyanidit yhteensä;FI
ASN;asparagiini;FI
CADAVT;kadaveriini;FI
CAFFN;kofeiini;FI
CYSTE;kysteiini;FI
ERGCAL;ergokalsiferoli (D2-vitamiini);FI
F13D0I;rasvahappo 13:0 iso;FI
F16D1;rasvahappo 16:1 (palmitoleiinihappo);FI
F16DUN;rasvahappo 16;FI
F18D1;rasvahappo 18:1;FI
F18D1CN9;rasvahappo 18:1 n-9 cis (öljyhappo);FI
F18D1TN9;rasvahappo 18:1 trans n-9;FI
F18D2;rasvahappo 18:2;FI
F18D3;rasvahappo 18:3;FI
F18D4;rasvahappo 18.4;FI
F20D2;rasvahappo 20:2;FI
F20D3;rasvahappo 20:3;FI
F20D4;rasvahappo 20:4;FI
F20D5;rasvahappo 20:5 (eikosapentaeenihappo);FI
F21D5;rasvahappo 21:5;FI
F22D1CN1;rasvahappo 22:1 cis n-11;FI
F22D1CN9;rasvahappo 22:1 cis n-9;FI
F22D1TN9;rasvahappo 22:1 trans n-9;FI
F22D2;rasvahappo 22:2;FI
F22D4;rasvahappo 22:4;FI
F22D5;rasvahappo 22:5 (dokosapentaeenihappo);FI
F22D6;rasvahappo 22:6 (dokosaheksaeenihappo);FI
F22DUN;rasvahappo 22;FI
F23D0;rasvahapppo 23:0;FI
GLN;glutamiini;FI
HISTN;histamiini;FI
MANTL;mannitoli;FI
PHETN;fenyylietyyliamiini;FI
PSACNC;polysakkaridi, ei-selluloosa;FI
PUTRSC;putreskiini;FI
RAFS;raffinoosi;FI
SEROTN;serotoniini;FI
SPERDN;spermidiini;FI
SPERN;spermiini;FI
TOCPHT;tokoferolit yhteensä;FI
TRES;trehaloosi;FI
TRYPN;tryptamiini;FI
TYRA;tyramiini;FI
VITB6;B6-vitamiini;FI
VITK1;K1-vitamiini (fyllokinoni);FI
VITK2;K2-vitamiini (menakinoni);FI
thscode;suomi;FI
F19D1;rasvahappo 19:1;FI
F21D0;rasvahappo 21:0;FI
F22D3N3;rasvahappo 22:3 n-3;FI
FAMSTXR;rasvahapot trans yksittäistyydyttymättömät muut;FI
