THSCODE;DESCRIPT;LANG
F20D0I;fatty acid 20:0 iso;EN
F22D0;fatty acid 22:0 (behenic acid);EN
F24D0;fatty acid 24:0 (lignoceric acid);EN
F26D0;fatty acid 26:0;EN
F10D1;fatty acid 10:1 (caproleic acid);EN
F12D1;fatty acid 12:1 (lauroleic acid);EN
F14D1;fatty acid 14:1 (myristoleic acid);EN
F15D1;fatty acid 15:1 (pentadecenoic acid);EN
F16D1T;fatty acid isomers 16:1;EN
F16D1I;fatty acid 16:1 iso;EN
F16D1N5;fatty acid 16:1 n-5;EN
F16D1N7;fatty acid 16:1 n-7;EN
F16D1N9;fatty acid 16:1 n-9;EN
F17D1;fatty acid 17:1 (heptadecenoic acid);EN
F17D1CIS;fatty acid 17:1 cis;EN
F18D1T;fatty acid isomers 18:1;EN
F18D1CIS;fatty acid 18:1 cis;EN
F18D1N5;fatty acid 18:1 n-5;EN
F18D1N7;fatty acid 18:1 n-7;EN
F18D1N9;fatty acid 18:1 n-9;EN
F18D1I;fatty acid 18:1 iso;EN
F20D1T;fatty acid isomers 20:1;EN
F20D1;fatty acid 20:1 (eicosenoic acid);EN
F20D1CIS;fatty acid 20:1 cis;EN
F20D1N9;fatty acid 20:1 n-9;EN
F20D1N11;fatty acid 20:1 n-11;EN
F22D1T;fatty acid isomers 22:1;EN
F22D1;fatty acid 22:1 (docosenoic acid);EN
F22D1CIS;fatty acid 22:1 cis;EN
F22D1N7;fatty acid 22:1 n-7;EN
F22D1N9;fatty acid, 22:1 n-9;EN
F22D1N11;fatty acid, 22:1 n-11;EN
F24D1;fatty acid 24:1 (selacholeic acid);EN
F24D1N9;fatty acid 24:1 n-9;EN
F16D2;fatty acid 16:2;EN
F16D3;fatty acid 16:3;EN
F16D4;fatty acid 16:4;EN
F18D2CON;fatty acid 18:2 conjugated;EN
F18D2ISO;fatty acid 18:2 iso;EN
F18D2CIS;fatty acid isomers 18:2 cis;EN
F18D2CN6;fatty acid 18:2 cis,cis n-6 (linoleic acid);EN
F18D3N3;fatty acid 18:3 n-3 (alpha-linolenic acid);EN
F18D3N6;fatty acid 18:3 n-6 (GLA, gamma-linolenic acid);EN
F18D4N3;fatty acid 18:4 n-3 (parinaric acid);EN
F20D2CIS;fatty acid 20:2 cis;EN
F20D2N6;fatty acid 20:2 n-6;EN
F20D3N3;fatty acid 20:3 n-3;EN
F20D3N6;fatty acid 20:3 n-6;EN
F20D4N3;fatty acid 20:4 n-3;EN
F20D4N6;fatty acid 20:4 n-6 (arachidonic acid);EN
F20D5N3;fatty acid 20:5 n-3 (EPA);EN
F20D5N6;fatty acid 20:5 n-6;EN
F21D5N3;fatty acid 21:5 n-3 (heneicosapentaenoic acid);EN
F22D2N6;fatty acid 22:2 n-6;EN
F22D4N3;fatty acid 22:4 n-3;EN
F22D4N6;fatty acid 22:4 n-6;EN
F22D5N3;fatty acid 22:5 n-3 (clupanodonic acid);EN
F22D5N6;fatty acid 22:5 n-6;EN
F22D6N3;fatty acid 22:6 n-3 (DHA);EN
F24DXN3;fatty acid 24:X n-3;EN
F16D1TRS;fatty acid 16:1 trans;EN
F18D1TN;fatty acid 18:1 trans;EN
F18D2TN;fatty acid, 18:2 trans;EN
F18D2TRI;fatty acid isomers 18:2 tri;EN
F18D3TN;fatty acid 18:3 trans;EN
F20D1TN;fatty acid 20:1 trans;EN
F20D2TN;fatty acid 20:2 trans;EN
F22D1TN;fatty acid trans 22:1;EN
NITRA;nitrates;EN
NITRI;nitrites;EN
TAUR;taurine;EN
ALA;alanine;EN
ARG;arginine;EN
ASNASP;asparagine and aspartic acid;EN
GLNGLU;glutamine+glutamic acid;EN
GLY;glycine;EN
HIS;histidine;EN
ILE;isoleucine;EN
LEU;leucine;EN
LYS;lysine;EN
MET;methionine;EN
METX;methionine (EKT hydrolysis);EN
PHE;phenylalanine;EN
PRO;proline;EN
SER;serine;EN
TRP;tryptophan;EN
TYR;tyrosine;EN
F11D0;fatty acid 11:0;EN
VAL;valine;EN
BETATN;betain;EN
F9D0;fatty acid 9:0;EN
EDICTYOL;eriodictyol;EN
EPIKATEK;epicatechin;EN
HESPER;hesperitin;EN
ISORHAM;isoramnetiini;EN
KAEMPH;kaempherol;EN
KATEK;catechin;EN
LUTEOL;luteolin;EN
MYRIC;myricetin;EN
NARINGE;naringenin;EN
QUERCE;quercetin;EN
CHOLNT;choline, total;EN
BIOCHA;biochanin A;EN
FORMO;formononetin;EN
GENIST;genistein;EN
LIGNANS;lignans;EN
SECORES;secoisolarisiresinol;EN
CHOLE;cholesterol (GC);EN
CHORL;cholesterol (enzymatic);EN
STERT;sterols, total;EN
AVEDT;avenasterol, total;EN
BRASTR;brassicasterol;EN
CAMT;campesterol, total;EN
SITSTR;sitosterol;EN
STEROTH;sterols, other;EN
STGSTR;stigmasterol, unspecified;EN
STANTOT;stanols, total;EN
ALKRESOR;alkylresorcinols;EN
ANTHOCYT;anthocyanidins, total;EN
AVANTHRA;avenathramides;EN
CYANID;cyanidin;EN
DELPHIN;delphinidin;EN
ELGTANN;ellagitannins;EN
MALVID;malvidin;EN
PA4TO6;proanthocyanidin 4-6mers;EN
PA7TO10;proanthocyanidin 7-10mers;EN
PABOUND;proanthocyanids bound;EN
PADIME;proanthocyanidin dimers;EN
PAMONO;proanthocyanidin monomers;EN
PAPOLYM;proanthocyanopolymers;EN
PATRI;proanthocyanidin trimers;EN
PELARGON;pelargonidin;EN
PEONID;peonidin;EN
PETUN;petunidin;EN
PROANTCT;proanthocyanidins total;EN
ASN;asparagine;EN
CADAVT;cadaverine;EN
CAFFN;caffeine;EN
CYSTE;cysteine;EN
ERGCAL;ergocalciferol (vitamin D2);EN
F13D0I;fatty acid 13:0 iso (isotridecanoic acid);EN
F16D1;fatty acid 16:1 (palmitoleic acid);EN
F16DUN;fatty acid 16:unidentified;EN
F18D1;fatty acid 18:1 (octadecenoic acid);EN
F18D1CN9;fatty acid 18:1 n-9 cis (oleic acid);EN
F18D1TN9;fatty acid 18:1 trans n-9 (elaidic acid);EN
F18D2;fatty acid 18:2;EN
F18D3;fatty acid 18:3;EN
F18D4;fatty acid 18:4 (stearidonic acid);EN
F20D2;fatty acid 20:2 (eicosadienoic acid);EN
F20D3;fatty acid 20:3 (eicosatrienoic acid);EN
F20D4;fatty acid 20:4 (eicosatetraenoic acid);EN
F20D5;fatty acid 20:5 (eicopentaenoic acid);EN
F21D5;fatty acid 21:5 (heneicosapentaenoic acid);EN
F22D1CN1;fatty acid 22:1cis n-11 (cetoleic acid);EN
F22D1CN9;fatty acid cis 22:1 n-9 (erucic acid);EN
F22D1TN9;fatty acid trans 22:1 n-9 (brassidic acid);EN
F22D2;fatty acid 22:2 (docosadienoic acid);EN
F22D4;fatty acid 22:4 (docosatetraenoic acid);EN
F22D5;fatty acid 22:5 (docosapentaenoic acid);EN
F22D6;fatty acid 22:6 (docosahexaenoic acid);EN
F22DUN;fatty acid 22:unidentified;EN
F23D0;fatty acid 23:0 (tricosanoic acid);EN
GLN;glutamine;EN
HISTN;histamine;EN
MANTL;mannitol;EN
PHETN;phenylethylamine;EN
PSACNC;polysaccharides, non-cellulosic;EN
PUTRSC;putrescine;EN
RAFS;raffinose;EN
SEROTN;serotonin;EN
SPERDN;spermidine;EN
SPERN;spermine;EN
TOCPHT;tocopherols, total;EN
TRES;trehalose;EN
TRYPN;tryptamine;EN
TYRA;tyramine;EN
VITB6;vitamin B-6, total;EN
VITK1;vitamin K-1 (phyllokinone);EN
VITK2;vitamin K-2 (menakinone);EN
thscode;englanti;EN
F19D1;fatty acid 19:1;EN
F21D0;fatty acid 21:0;EN
F22D3N3;fatty acid 22:3 n-3;EN
FAMSTXR;fatty acids, monounsaturated, trans, remainder;EN
