FOODID;CONFDID;AMOUNT;FOODUNIT;MASS;EVREMAIN;RECYEAR
951;1;3,00;G;3,00;100;
952;907;75,00;G;75,00;100;
952;905;25,00;G;25,00;100;
953;684;71,00;G;71,00;100;
953;858;16,00;G;16,00;100;
953;907;11,00;G;11,00;100;
953;1;1,00;G;1,00;100;
1000;922;1000,00;G;1000,00;90;2009
1000;100;55,00;G;55,00;100;2009
1000;30;5,00;G;5,00;100;2009
1001;922;650,00;G;650,00;90;2009
1001;451;350,00;G;350,00;90;2009
1001;100;40,00;G;40,00;100;2009
1001;30;3,00;G;3,00;100;2009
1002;922;1000,00;G;1000,00;90;
1002;100;125,00;G;125,00;100;
1002;30;5,00;G;5,00;100;
1003;684;1000,00;G;1000,00;90;2009
1003;100;165,00;G;165,00;100;2009
1003;30;5,00;G;5,00;100;2009
1005;922;676,00;G;676,00;82;
1005;28913;426,00;G;426,00;87;
1005;100;74,00;G;74,00;100;
1005;30;9,00;G;9,00;100;
1006;922;1000,00;G;1000,00;90;
1006;440;180,00;G;180,00;90;
1006;100;180,00;G;180,00;100;
1006;1;45,00;G;45,00;100;
1006;30;2,50;G;2,50;100;
1007;922;1000,00;G;1000,00;90;2009
1007;440;180,00;G;180,00;90;2009
1007;100;165,00;G;165,00;100;2009
1007;30;5,00;G;5,00;100;2009
1009;100;1650,00;G;1650,00;100;
1009;922;625,00;G;625,00;85;
1009;30;15,00;G;15,00;100;
1009;26;50,00;G;50,00;100;
1011;110;1250,00;G;1250,00;100;2011
1011;611;750,00;G;750,00;88;2011
1011;100;460,00;G;460,00;100;2011
1011;3;280,00;G;280,00;100;2011
1011;26;50,00;G;50,00;100;2011
1011;30;11,00;G;11,00;100;2011
1013;684;1000,00;G;1000,00;70;
1013;922;700,00;G;700,00;70;
1013;100;200,00;G;200,00;100;
1013;156;270,00;G;270,00;100;
1013;110;90,00;G;90,00;100;
1013;5900;40,00;G;40,00;100;
1013;30;12,50;G;12,50;100;
1014;205;700,00;G;700,00;100;
1014;922;200,00;G;200,00;72;
1014;100;200,00;G;200,00;100;
1014;684;100,00;G;100,00;72;
1014;858;60,00;G;60,00;72;
1014;110;60,00;G;60,00;100;
1014;5900;40,00;G;40,00;100;
1014;30;5,00;G;5,00;100;
1015;454;734,00;G;734,00;90;2011
1015;1;260,00;G;260,00;100;2011
1015;922;118,00;G;118,00;82;2011
1015;100;109,00;G;109,00;100;2011
1015;110;60,00;G;60,00;100;2011
1015;5900;14,00;G;14,00;100;2011
1015;30;5,00;G;5,00;100;2011
1017;922;53,36;G;53,36;82;
1017;100;21,00;G;21,00;100;
1017;5900;17,50;G;17,50;100;
1017;156;9,80;G;9,80;89;
1017;858;9,20;G;9,20;85;
1017;30;1,20;G;1,20;100;
1022;922;845,00;G;845,00;82;
1022;440;157,00;G;157,00;88;
1022;1;75,00;G;75,00;100;
1022;112;52,00;G;52,00;100;
1022;1331;39,00;G;39,00;100;
1022;162;8,00;G;8,00;100;
1022;30;2,00;G;2,00;100;
1023;922;7000,00;G;7000,00;90;2009
1023;100;2000,00;G;2000,00;100;2009
1023;168;1000,00;G;1000,00;100;2009
1023;3;850,00;G;850,00;100;2009
1023;30;20,00;G;20,00;100;2009
1025;684;1000,00;G;1000,00;90;2009
1025;103;60,00;G;60,00;100;2009
1025;30;5,00;G;5,00;100;2009
1026;922;1000,00;G;1000,00;90;
1026;103;120,00;G;120,00;100;
1026;30;5,00;G;5,00;100;
1027;684;1000,00;G;1000,00;90;2009
1027;103;90,00;G;90,00;100;2009
1027;30;5,00;G;5,00;100;2009
1028;684;1000,00;G;1000,00;90;
1028;11005;35,00;G;35,00;100;
1028;30;5,00;G;5,00;100;
1030;684;1000,00;G;1000,00;90;
1030;103;80,00;G;80,00;100;
1030;114;20,00;G;20,00;100;
1030;153;10,00;G;10,00;100;
1030;152;10,00;G;10,00;100;
1030;30;5,00;G;5,00;100;
1031;352;250,00;G;250,00;100;
1031;395;350,00;G;350,00;100;
1031;110;240,00;G;240,00;100;
1031;922;150,00;G;150,00;80;
1031;615;100,00;G;100,00;100;
1031;355;110,00;G;110,00;100;
1031;335;55,00;G;55,00;100;
1031;5900;40,00;G;40,00;100;
1031;330;100,00;G;100,00;100;
1031;392;40,00;G;40,00;100;
1031;393;8,00;G;8,00;100;
1031;33449;100,00;G;100,00;100;
1032;922;800,00;G;800,00;80;
1032;428;90,00;G;90,00;100;
1032;156;50,00;G;50,00;100;
1032;153;30,00;G;30,00;100;
1032;116;20,00;G;20,00;100;
1032;152;20,00;G;20,00;100;
1032;30;2,50;G;2,50;100;
1033;711;250,00;G;250,00;72;
1033;398;400,00;G;400,00;72;
1033;110;240,00;G;240,00;100;
1033;335;150,00;G;150,00;72;
1033;531;27,00;G;27,00;100;
1033;922;200,00;G;200,00;83;
1033;38;11,00;G;11,00;100;
1033;30;2,50;G;2,50;100;
1033;11177;0,50;G;0,50;100;
1035;754;400,00;G;400,00;77;
1035;352;180,00;G;180,00;77;
1035;331;125,00;G;125,00;77;
1035;110;240,00;G;240,00;100;
1035;363;100,00;G;100,00;77;
1035;615;200,00;G;200,00;77;
1035;335;55,00;G;55,00;77;
1035;698;40,00;G;40,00;100;
1035;922;200,00;G;200,00;77;
1035;531;27,00;G;27,00;100;
1035;393;4,00;G;4,00;100;
1035;30;5,00;G;5,00;100;
1056;110;750,00;G;750,00;100;
1056;922;500,00;G;500,00;85;
1056;26;25,00;G;25,00;100;
1056;30;5,00;G;5,00;100;
1100;684;1000,00;G;1000,00;86;
1100;110;60,00;G;60,00;100;
1100;1;3,00;G;3,00;100;
1100;30;3,00;G;3,00;100;
1100;5900;15,00;G;15,00;100;
1101;684;1000,00;G;1000,00;90;2009
1101;858;110,00;G;110,00;100;2009
1101;1;20,00;G;20,00;100;2009
1101;110;20,00;G;20,00;100;2009
1101;30;6,50;G;6,50;100;2009
1104;684;1000,00;G;1000,00;86;
1104;110;130,00;G;130,00;100;
1104;5900;30,00;G;30,00;100;
1104;1;3,00;G;3,00;100;
1104;30;3,00;G;3,00;100;
1107;110;758,00;G;758,00;100;
1107;684;350,00;G;350,00;86;
1107;26;14,00;G;14,00;87;
1107;30;12,00;G;12,00;100;
1108;110;702,00;G;702,00;100;2011
1108;922;100,00;G;100,00;85;2011
1108;684;175,00;G;175,00;85;2011
1108;5900;61,00;G;61,00;100;2011
1108;26;14,00;G;14,00;100;2011
1108;30;5,00;G;5,00;100;2011
1111;684;506,00;G;506,00;86;2011
1111;110;1800,00;G;1800,00;100;2011
1111;100;800,00;G;800,00;100;2011
1111;5901;200,00;G;200,00;100;2011
1111;30;34,00;G;34,00;100;2011
1111;26;50,00;G;50,00;100;2011
1132;110;960,00;G;960,00;100;
1132;29210;500,00;G;500,00;87;
1132;5901;500,00;G;500,00;100;
1132;1;85,00;G;85,00;100;
1132;858;120,00;G;120,00;87;
1132;26;100,00;G;100,00;100;
1132;30;2,00;G;2,00;100;
1139;110;850,00;G;850,00;100;
1139;684;500,00;G;500,00;90;
1139;1;170,00;G;170,00;100;
1139;552;65,00;G;65,00;100;
1139;858;60,00;G;60,00;90;
1139;5901;100,00;G;100,00;100;
1139;26;50,00;G;50,00;100;
1139;30;5,00;G;5,00;100;
1150;110;1250,00;G;1250,00;100;2011
1150;684;250,00;G;250,00;86;2011
1150;858;330,00;G;330,00;85;2011
1150;5901;420,00;G;420,00;100;2011
1150;1;400,00;G;400,00;100;2011
1150;26;140,00;G;140,00;100;2011
1150;30;42,00;G;42,00;100;2011
1160;110;490,00;G;490,00;100;
1160;5904;490,00;G;490,00;90;
1160;858;200,00;G;200,00;85;
1161;454;900,00;G;900,00;90;
1161;110;800,00;G;800,00;100;
1161;684;250,00;G;250,00;90;
1161;1;170,00;G;170,00;100;
1161;5901;75,00;G;75,00;100;
1161;858;60,00;G;60,00;90;
1161;26;25,00;G;25,00;100;
1161;162;15,00;G;15,00;100;
1161;30;2,50;G;2,50;100;
1162;454;900,00;G;900,00;90;
1162;110;800,00;G;800,00;100;
1162;606;250,00;G;250,00;90;
1162;1;170,00;G;170,00;100;
1162;5901;75,00;G;75,00;100;
1162;858;60,00;G;60,00;90;
1162;26;25,00;G;25,00;100;
1162;162;15,00;G;15,00;100;
1162;30;2,50;G;2,50;100;
1163;454;900,00;G;900,00;90;
1163;110;800,00;G;800,00;100;
1163;689;250,00;G;250,00;90;
1163;1;170,00;G;170,00;100;
1163;5901;75,00;G;75,00;100;
1163;858;60,00;G;60,00;90;
1163;26;25,00;G;25,00;100;
1163;162;15,00;G;15,00;100;
1163;30;2,50;G;2,50;100;
1164;450;170,00;G;170,00;90;
1164;110;800,00;G;800,00;100;
1164;684;250,00;G;250,00;90;
1164;1;85,00;G;85,00;100;
1164;5901;75,00;G;75,00;100;
1164;858;60,00;G;60,00;90;
1164;26;25,00;G;25,00;100;
1164;30;2,50;G;2,50;100;
1165;450;170,00;G;170,00;100;
1165;110;800,00;G;800,00;100;
1165;606;250,00;G;250,00;90;
1165;1;85,00;G;85,00;100;
1165;5901;75,00;G;75,00;100;
1165;858;60,00;G;60,00;90;
1165;26;25,00;G;25,00;100;
1165;30;2,50;G;2,50;100;
1170;28916;600,00;G;600,00;90;
1170;110;800,00;G;800,00;100;
1170;684;250,00;G;250,00;90;
1170;1;150,00;G;150,00;100;
1170;5901;75,00;G;75,00;100;
1170;858;60,00;G;60,00;90;
1170;26;25,00;G;25,00;100;
1170;30;2,50;G;2,50;100;
1173;622;500,00;G;500,00;90;
1173;110;800,00;G;800,00;100;
1173;684;250,00;G;250,00;90;
1173;858;60,00;G;60,00;90;
1173;1;120,00;G;120,00;100;
1173;428;60,00;G;60,00;100;
1173;29066;100,00;G;100,00;90;
1173;5901;75,00;G;75,00;100;
1173;30;2,50;G;2,50;100;
1179;454;450,00;G;450,00;90;
1179;110;150,00;G;150,00;100;
1179;5901;100,00;G;100,00;100;
1179;1;60,00;G;60,00;100;
1179;858;60,00;G;60,00;90;
1179;162;25,00;G;25,00;100;
1180;454;450,00;G;450,00;90;
1180;615;200,00;G;200,00;90;
1180;110;150,00;G;150,00;100;
1180;5901;100,00;G;100,00;100;
1180;1;100,00;G;100,00;100;
1180;858;120,00;G;120,00;90;
1181;450;150,00;G;150,00;90;
1181;110;150,00;G;150,00;100;
1181;5901;100,00;G;100,00;100;
1181;1;60,00;G;60,00;100;
1181;858;60,00;G;60,00;90;
1182;338;400,00;G;400,00;90;
1182;1;150,00;G;150,00;100;
1182;110;150,00;G;150,00;100;
1182;5901;100,00;G;100,00;100;
1182;858;60,00;G;60,00;90;
1183;28916;660,00;G;660,00;90;
1183;110;150,00;G;150,00;100;
1183;5901;100,00;G;100,00;100;
1183;1;100,00;G;100,00;100;
1183;858;60,00;G;60,00;90;
1184;622;250,00;G;250,00;90;
1184;110;150,00;G;150,00;100;
1184;5901;100,00;G;100,00;100;
1184;1;100,00;G;100,00;100;
1184;858;120,00;G;120,00;90;
1184;428;30,00;G;30,00;100;
1184;29066;50,00;G;50,00;90;
1185;622;200,00;G;200,00;90;
1185;28916;660,00;G;660,00;90;
1185;110;150,00;G;150,00;100;
1185;5901;100,00;G;100,00;100;
1185;1;100,00;G;100,00;100;
1185;858;120,00;G;120,00;90;
1185;29066;75,00;G;75,00;90;
1193;858;220,00;G;220,00;85;
1193;110;130,00;G;130,00;100;
1193;74;5,00;G;5,00;100;
1202;1;130,00;G;130,00;100;
1202;31608;75,00;G;75,00;100;
1202;110;150,00;G;150,00;100;
1202;858;120,00;G;120,00;80;
1202;379;100,00;G;100,00;100;
1202;29066;50,00;G;50,00;80;
1204;29066;30,10;G;30,10;100;
1204;858;18,00;G;18,00;100;
1204;450;17,80;G;17,80;100;
1204;1;17,30;G;17,30;100;
1204;110;10,10;G;10,10;100;
1204;436;6,10;G;6,10;100;
1204;31608;0,50;G;0,50;100;
1206;1;25,70;G;25,70;100;
1206;29066;21,30;G;21,30;100;
1206;858;15,40;G;15,40;100;
1206;411;15,30;G;15,30;100;
1206;922;12,90;G;12,90;100;
1206;110;8,70;G;8,70;100;
1206;31608;0,70;G;0,70;100;
1207;858;21,60;G;21,60;100;
1207;1;20,20;G;20,20;100;
1207;450;17,10;G;17,10;100;
1207;110;9,80;G;9,80;100;
1207;436;5,90;G;5,90;100;
1207;922;3,20;G;3,20;100;
1207;31608;22,20;G;22,20;100;
1208;858;16,80;G;16,80;100;
1208;1;16,70;G;16,70;100;
1208;450;16,60;G;16,60;100;
1208;436;10,40;G;10,40;100;
1208;110;9,50;G;9,50;100;
1208;29066;9,20;G;9,20;100;
1208;922;8,50;G;8,50;100;
1208;411;6,60;G;6,60;100;
1208;417;5,30;G;5,30;100;
1208;25;0,40;G;0,40;100;
1218;300;350,00;G;350,00;84;2011
1218;5904;240,00;G;240,00;100;2011
1218;110;260,00;G;260,00;100;2011
1218;922;180,00;G;180,00;82;2011
1218;858;155,00;G;155,00;85;2011
1218;30;13,20;G;13,20;100;2011
1220;343;1000,00;G;1000,00;80;
1220;5904;125,00;G;125,00;100;
1220;110;180,00;G;180,00;100;
1220;632;200,00;G;200,00;80;
1220;858;120,00;G;120,00;80;
1220;922;30,00;G;30,00;80;
1220;335;100,00;G;100,00;80;
1220;30;5,00;G;5,00;100;
1221;642;150,00;G;150,00;100;
1221;5901;100,00;G;100,00;100;
1221;309;100,00;G;100,00;90;
1221;300;100,00;G;100,00;90;
1221;335;55,00;G;55,00;90;
1221;111;60,00;G;60,00;100;
1221;110;60,00;G;60,00;100;
1221;333;4,00;G;4,00;90;
1221;922;45,00;G;45,00;90;
1221;30;3,00;G;3,00;100;
1223;684;500,00;G;500,00;75;
1223;110;150,00;G;150,00;100;
1223;858;120,00;G;120,00;75;
1223;5900;35,00;G;35,00;100;
1223;30;2,50;G;2,50;100;
1228;684;500,00;G;500,00;85;
1228;858;120,00;G;120,00;85;
1228;110;60,00;G;60,00;100;
1228;5900;35,00;G;35,00;100;
1228;150;110,00;G;110,00;100;
1228;30;5,00;G;5,00;100;
1228;26;15,00;G;15,00;100;
1231;684;800,00;G;800,00;85;
1231;858;180,00;G;180,00;85;
1231;110;240,00;G;240,00;100;
1231;1;24,00;G;24,00;100;
1231;5900;15,00;G;15,00;100;
1231;30;5,00;G;5,00;100;
1239;684;450,00;G;450,00;85;
1239;110;27,00;G;27,00;100;
1239;5900;30,00;G;30,00;100;
1239;30;2,00;G;2,00;100;
1242;684;500,00;G;500,00;85;
1242;110;22,50;G;22,50;100;
1242;30;2,00;G;2,00;100;
1243;29;450,00;G;450,00;85;
1243;110;27,00;G;27,00;100;
1243;5900;30,00;G;30,00;100;
1243;30;1,00;G;1,00;100;
1244;922;450,00;G;450,00;70;
1244;110;27,00;G;27,00;100;
1244;5900;30,00;G;30,00;100;
1244;30;2,50;G;2,50;100;
1245;29;300,00;G;300,00;60;
1245;632;30,00;G;30,00;70;
1245;110;9,00;G;9,00;100;
1245;30;2,00;G;2,00;100;
1246;922;30,00;G;30,00;85;
1246;5900;150,00;G;150,00;100;
1246;851;60,00;G;60,00;85;
1246;11557;15,00;G;15,00;85;
1246;110;9,00;G;9,00;100;
1246;30;0,50;G;0,50;100;
1247;684;450,00;G;450,00;85;
1247;858;90,00;G;90,00;100;
1247;110;27,00;G;27,00;100;
1247;5900;30,00;G;30,00;100;
1247;30;2,00;G;2,00;100;
1253;684;900,00;G;900,00;90;2009
1253;922;400,00;G;400,00;90;2009
1253;858;275,00;G;275,00;100;2009
1253;11063;250,00;G;250,00;90;2009
1253;1;150,00;G;150,00;100;2009
1253;110;65,00;G;65,00;100;2009
1253;5900;28,00;G;28,00;85;2009
1258;684;483,00;G;483,00;80;
1258;110;210,00;G;210,00;100;
1258;858;110,00;G;110,00;80;
1258;5900;100,00;G;100,00;90;
1258;1;25,00;G;25,00;100;
1258;26;12,00;G;12,00;100;
1262;29066;54,30;G;54,30;100;
1262;450;30,90;G;30,90;100;
1262;126;6,50;G;6,50;100;
1262;29753;6,50;G;6,50;100;
1262;451;1,70;G;1,70;100;
1265;684;1000,00;G;1000,00;90;2009
1265;111;57,00;G;57,00;100;2009
1265;30;5,00;G;5,00;100;2009
1266;922;1000,00;G;1000,00;90;2009
1266;111;195,00;G;195,00;100;2009
1266;30;5,00;G;5,00;100;2009
1268;922;1000,00;G;1000,00;90;
1268;440;180,00;G;180,00;90;
1268;111;180,00;G;180,00;100;
1268;1;45,00;G;45,00;100;
1268;30;2,50;G;2,50;100;
1269;111;1600,00;G;1600,00;100;2011
1269;684;760,00;G;760,00;86;2011
1269;26;50,00;G;50,00;100;2011
1269;3;85,00;G;85,00;100;2011
1269;30;24,00;G;24,00;100;2011
1270;111;700,00;G;700,00;100;
1270;110;700,00;G;700,00;100;
1270;684;500,00;G;500,00;85;
1270;922;500,00;G;500,00;85;
1270;3;70,00;G;70,00;100;
1270;5906;100,00;G;100,00;100;
1270;26;50,00;G;50,00;100;
1270;30;15,00;G;15,00;100;
1276;684;1000,00;G;1000,00;90;2009
1276;112;50,00;G;50,00;100;2009
1276;30;5,00;G;5,00;100;2009
1277;684;1000,00;G;1000,00;90;
1277;112;115,00;G;115,00;100;
1277;30;5,00;G;5,00;100;
1278;922;500,00;G;500,00;90;
1278;1;45,00;G;45,00;100;
1278;440;180,00;G;180,00;90;
1278;112;75,00;G;75,00;100;
1278;30;1,00;G;1,00;100;
1279;922;1000,00;G;1000,00;90;2009
1279;440;150,00;G;150,00;90;2009
1279;112;120,00;G;120,00;100;2009
1279;30;2,50;G;2,50;100;2009
1280;922;1000,00;G;1000,00;90;2009
1280;409;100,00;G;100,00;100;2009
1280;1;85,00;G;85,00;100;2009
1280;112;120,00;G;120,00;100;2009
1281;684;1000,00;G;1000,00;90;2009
1281;112;120,00;G;120,00;100;2009
1281;1;21,00;G;21,00;100;2009
1281;20;20,00;G;20,00;100;2009
1283;684;1000,00;G;1000,00;90;2009
1283;113;50,00;G;50,00;100;2009
1283;30;5,00;G;5,00;100;2009
1284;922;1000,00;G;1000,00;90;2009
1284;113;120,00;G;120,00;100;2009
1284;30;5,00;G;5,00;100;2009
1285;684;1000,00;G;1000,00;90;
1285;113;115,00;G;115,00;100;
1285;30;5,00;G;5,00;100;
1286;684;1000,00;G;1000,00;90;2009
1286;114;60,00;G;60,00;100;2009
1286;30;5,00;G;5,00;100;2009
1287;922;1000,00;G;1000,00;90;2009
1287;114;60,00;G;60,00;100;2009
1287;30;5,00;G;5,00;100;2009
1288;684;1000,00;G;1000,00;90;2009
1288;114;120,00;G;120,00;100;2009
1288;30;3,25;G;3,25;100;2009
1289;684;1000,00;G;1000,00;90;2009
1289;117;41,00;G;41,00;100;2009
1289;30;5,00;G;5,00;100;2009
1290;684;1000,00;G;1000,00;90;2009
1290;117;120,00;G;120,00;100;2009
1290;30;5,00;G;5,00;100;2009
1291;684;400,00;G;400,00;88;
1291;858;120,00;G;120,00;88;
1291;5900;4,00;G;4,00;100;
1291;30;5,00;G;5,00;100;
1291;126;25,00;G;25,00;100;
1291;1372;425,00;G;425,00;88;
1294;1372;1040,00;G;1040,00;89;
1294;5900;73,00;G;73,00;90;
1294;30;9,00;G;9,00;100;
1295;124;30,00;G;30,00;100;
1295;922;34,80;G;34,80;85;
1295;26;2,00;G;2,00;85;
1295;110;30,00;G;30,00;100;
1295;79;1,20;G;1,20;100;
1295;530;2,00;G;2,00;90;
1297;110;900,00;G;900,00;100;2015
1297;124;580,00;G;580,00;100;2015
1297;33683;500,00;G;500,00;88;2015
1297;3;170,00;G;170,00;100;2015
1297;26;26,00;G;26,00;100;2015
1297;30;8,00;G;8,00;100;2015
1298;124;1000,00;G;1000,00;100;
1298;125;400,00;G;400,00;100;
1298;922;500,00;G;500,00;85;
1298;684;500,00;G;500,00;85;
1298;300;300,00;G;300,00;85;
1298;5900;100,00;G;100,00;100;
1298;26;50,00;G;50,00;100;
1298;3;70,00;G;70,00;100;
1298;30;15,00;G;15,00;100;
1301;125;1400,00;G;1400,00;100;
1301;922;500,00;G;500,00;85;
1301;684;500,00;G;500,00;85;
1301;5906;100,00;G;100,00;100;
1301;26;50,00;G;50,00;100;
1301;3;70,00;G;70,00;100;
1301;30;15,00;G;15,00;100;
1305;454;360,00;G;360,00;90;2011
1305;110;237,00;G;237,00;100;2011
1305;1;112,00;G;112,00;100;2011
1305;5900;100,00;G;100,00;100;2011
1305;615;79,50;G;79,50;82;2011
1305;684;68,00;G;68,00;86;2011
1305;858;67,00;G;67,00;85;2011
1305;26;8,00;G;8,00;100;2011
1305;162;5,00;G;5,00;100;2011
1307;30;5,00;G;5,00;100;
1307;110;1000,00;G;1000,00;100;
1307;684;500,00;G;500,00;87;
1307;5900;250,00;G;250,00;100;
1307;1;170,00;G;170,00;100;
1307;858;110,00;G;110,00;87;
1307;26;50,00;G;50,00;100;
1309;110;758,00;G;758,00;100;
1309;922;265,00;G;265,00;82;
1309;26;14,00;G;14,00;100;
1309;30;12,00;G;12,00;100;
1320;922;1000,00;G;1000,00;85;2011
1320;161;1400,00;G;1400,00;100;2011
1320;26;50,00;G;50,00;100;2011
1320;3;20,00;G;20,00;100;2011
1320;32709;100,00;G;100,00;90;2011
1326;858;250,00;G;250,00;95;
1326;1;130,00;G;130,00;100;
1326;29823;35,00;G;35,00;100;
1326;162;85,00;G;85,00;100;
1326;74;5,00;G;5,00;100;
1326;450;100,00;G;100,00;100;
1330;922;1000,00;G;1000,00;85;
1330;124;800,00;G;800,00;100;
1330;100;800,00;G;800,00;100;
1330;30;15,00;G;15,00;100;
1331;100;1450,00;G;1450,00;100;2008
1331;922;550,00;G;550,00;85;2008
1331;124;150,00;G;150,00;100;2008
1331;30;15,00;G;15,00;100;2008
1331;26;50,00;G;50,00;100;2008
1336;124;1000,00;G;1000,00;100;
1336;922;1000,00;G;1000,00;85;
1336;111;400,00;G;400,00;100;
1336;26;50,00;G;50,00;100;
1336;3;50,00;G;50,00;100;
1336;30;15,00;G;15,00;100;
1337;124;1000,00;G;1000,00;100;
1337;684;1000,00;G;1000,00;85;
1337;111;400,00;G;400,00;100;
1337;26;50,00;G;50,00;100;
1337;3;50,00;G;50,00;100;
1337;30;15,00;G;15,00;100;
1338;922;200,00;G;200,00;82;
1338;176;350,00;G;350,00;100;
1338;100;250,00;G;250,00;100;
1338;110;100,00;G;100,00;100;
1338;43;60,00;G;60,00;100;
1338;206;60,00;G;60,00;86;
1338;26;20,00;G;20,00;100;
1338;30;11,00;G;11,00;100;
1341;110;1300,00;G;1300,00;100;
1341;922;1000,00;G;1000,00;85;
1341;175;50,00;G;50,00;100;
1341;176;50,00;G;50,00;100;
1341;26;50,00;G;50,00;100;
1341;206;35,00;G;35,00;100;
1341;153;35,00;G;35,00;100;
1341;30;15,00;G;15,00;100;
1341;116;15,00;G;15,00;100;
1342;922;300,00;G;300,00;82;
1342;176;320,00;G;320,00;100;
1342;100;180,00;G;180,00;100;
1342;3;80,00;G;80,00;100;
1342;43;70,00;G;70,00;100;
1342;124;60,00;G;60,00;100;
1342;26;30,00;G;30,00;100;
1342;30;7,00;G;7,00;100;
1343;110;150,00;G;150,00;100;
1343;684;100,00;G;100,00;90;
1343;338;150,00;G;150,00;90;
1343;454;150,00;G;150,00;90;
1343;1;127,50;G;127,50;100;
1343;858;120,00;G;120,00;90;
1343;541;75,00;G;75,00;100;
1344;110;248,00;G;248,00;100;2011
1344;684;220,00;G;220,00;86;2011
1344;338;125,00;G;125,00;86;2011
1344;454;142,00;G;142,00;90;2011
1344;858;85,00;G;85,00;85;2011
1344;541;75,00;G;75,00;100;2011
1344;2;66,00;G;66,00;100;2011
1347;31672;75,00;G;75,00;100;
1347;11063;15,00;G;15,00;100;
1347;1;10,00;G;10,00;100;
1348;153;25,00;G;25,00;100;
1348;114;20,00;G;20,00;100;
1348;163;15,00;G;15,00;100;
1348;11049;12,00;G;12,00;100;
1348;1;9,00;G;9,00;100;
1348;152;5,00;G;5,00;100;
1348;401;8,00;G;8,00;100;
1348;428;4,50;G;4,50;100;
1348;4;1,00;G;1,00;100;
1348;30;0,50;G;0,50;100;
1370;922;60,00;G;60,00;100;
1370;156;40,00;G;40,00;100;
1372;922;70,00;G;70,00;100;
1372;117;29,50;G;29,50;100;
1372;30;0,50;G;0,50;100;
1373;922;70,00;G;70,00;100;
1373;121;29,50;G;29,50;100;
1373;30;0,50;G;0,50;100;
1374;922;70,00;G;70,00;100;
1374;119;29,50;G;29,50;100;
1374;30;0,50;G;0,50;100;
1375;922;59,00;G;59,00;100;
1375;11522;40,00;G;40,00;100;
1375;30;1,00;G;1,00;100;
1376;922;59,00;G;59,00;100;
1376;11521;40,00;G;40,00;100;
1376;30;1,00;G;1,00;100;
1377;922;60,00;G;60,00;100;
1377;158;40,00;G;40,00;100;
1378;922;59,00;G;59,00;100;
1378;158;40,00;G;40,00;100;
1378;30;1,00;G;1,00;100;
1379;922;59,00;G;59,00;100;
1379;156;40,00;G;40,00;100;
1379;30;1,00;G;1,00;100;
1389;5904;300,00;G;300,00;100;
1389;142;250,00;G;250,00;100;
1389;209;250,00;G;250,00;100;
1389;100;170,00;G;170,00;100;
1389;922;50,00;G;50,00;82;
1416;100;540,00;G;540,00;100;2011
1416;922;400,00;G;400,00;82;2011
1416;3;120,00;G;120,00;100;2011
1416;110;80,00;G;80,00;100;2011
1416;4401;70,00;G;70,00;100;2011
1416;1;50,00;G;50,00;100;2011
1416;168;20,00;G;20,00;100;2011
1416;30;10,00;G;10,00;100;2011
1416;26;10,00;G;10,00;100;2011
1445;1309;37,00;G;37,00;100;2016
